Iqaon System
31 habitable bodies
star diam: 0.885
star mass: 1.190
star grav: 1.516

inner planets:
  [Planet Name]
  diam: 0.338
  grav: 5.221
  moons:
    [Moon Name]
    diam: 0.100
    grav: 0.250


outer planets:
  Modisign
  diam: 4.212
  grav: 2.393
  moons:
    [Moon Name]
    diam: 0.388
    grav: 0.017

    [Moon Name]
    diam: 0.100
    grav: 1.049

    [Moon Name]
    diam: 0.479
    grav: 0.198

    [Moon Name]
    diam: 0.766
    grav: 0.055

    [Moon Name]
    diam: 0.294
    grav: 0.033

    [Moon Name]
    diam: 0.227
    grav: 0.049

    [Moon Name]
    diam: 0.182
    grav: 0.407

    [Moon Name]
    diam: 0.514
    grav: 0.103

    [Moon Name]
    diam: 0.581
    grav: 0.123

    [Moon Name]
    diam: 0.429
    grav: 0.014

    [Moon Name]
    diam: 0.100
    grav: 2.906

    [Moon Name]
    diam: 0.454
    grav: 0.042

    [Moon Name]
    diam: 0.337
    grav: 0.022

    [Moon Name]
    diam: 0.413
    grav: 0.015

    [Moon Name]
    diam: 0.634
    grav: 0.006

    [Moon Name]
    diam: 0.597
    grav: 0.007

    [Moon Name]
    diam: 0.700
    grav: 0.081

    [Moon Name]
    diam: 0.100
    grav: 4.059

    [Moon Name]
    diam: 0.350
    grav: 0.036

    [Moon Name]
    diam: 0.906
    grav: 0.053

    [Moon Name]
    diam: 0.998
    grav: 0.060

    [Moon Name]
    diam: 0.450
    grav: 0.179

    [Moon Name]
    diam: 0.682
    grav: 0.005

    [Moon Name]
    diam: 0.283
    grav: 0.703

    [Moon Name]
    diam: 0.252
    grav: 0.470

    [Moon Name]
    diam: 0.604
    grav: 0.141

    [Moon Name]
    diam: 0.401
    grav: 0.183

    [Moon Name]
    diam: 0.734
    grav: 0.005

    [Moon Name]
    diam: 0.482
    grav: 0.097

    [Moon Name]
    diam: 0.100
    grav: 5.456

    [Moon Name]
    diam: 0.100
    grav: 6.467

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.100
    grav: 2.521

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.541
    grav: 0.210

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.337
    grav: 0.022

    [Moon Name]
    diam: 0.100
    grav: 3.042

    [Moon Name]
    diam: 0.337
    grav: 0.022

    [Moon Name]
    diam: 0.460
    grav: 0.012

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.471
    grav: 0.011

    Trateo
    HABITABLE (Alastra, low)
    diam: 0.100
    grav: 0.339

    [Moon Name]
    diam: 0.100
    grav: 2.682

    [Moon Name]
    diam: 0.353
    grav: 0.027

    [Moon Name]
    diam: 0.100
    grav: 4.989

    [Moon Name]
    diam: 0.259
    grav: 0.037

    [Moon Name]
    diam: 0.100
    grav: 7.347

    [Moon Name]
    diam: 0.915
