Voph System
15 habitable bodies
star diam: 0.802
star mass: 1.666
star grav: 2.584

inner planets:
  Gailasil
  HABITABLE (Gailaborne, med)
  diam: 0.671
  grav: 0.334
  moons:
    Shen
    diam: 0.574
    grav: 0.008


outer planets:
  [Planet Name]
  diam: 5.081
  grav: 2.510
  moons:
    [Moon Name]
    diam: 0.463
    grav: 0.215

    [Moon Name]
    diam: 0.792
    grav: 0.004

    [Moon Name]
    diam: 0.166
    grav: 0.091

    [Moon Name]
    diam: 0.100
    grav: 14.125

    [Moon Name]
    diam: 0.433
    grav: 0.138

    [Moon Name]
    diam: 0.309
    grav: 0.343

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.484
    grav: 0.011

    [Moon Name]
    diam: 0.100
    grav: 4.368

    [Moon Name]
    diam: 0.100
    grav: 2.126

    [Moon Name]
    diam: 0.712
    grav: 0.023

    [Moon Name]
    diam: 0.193
    grav: 0.067

    [Moon Name]
    diam: 0.312
    grav: 0.026

    [Moon Name]
    diam: 0.100
    grav: 7.162

    [Moon Name]
    diam: 0.584
    grav: 0.026

    [Moon Name]
    diam: 0.263
    grav: 1.683

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.240
    grav: 0.409

    [Moon Name]
    diam: 0.327
    grav: 0.042

    [Moon Name]
    diam: 0.286
    grav: 0.538

    [Moon Name]
    diam: 0.600
    grav: 0.146

    [Moon Name]
    diam: 0.100
    grav: 2.238

    [Moon Name]
    diam: 1.332
    grav: 0.063

    [Moon Name]
    diam: 0.589
    grav: 0.066

    [Moon Name]
    diam: 0.491
    grav: 0.490

    [Moon Name]
    diam: 0.236
    grav: 1.818

    [Moon Name]
    diam: 0.100
    grav: 6.048

    [Moon Name]
    diam: 0.882
    grav: 0.009

    [Moon Name]
    diam: 0.100
    grav: 3.925

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.100
    grav: 7.833

    [Moon Name]
    HABITABLE
    diam: 0.179
    grav: 1.857

    [Moon Name]
    diam: 0.272
    grav: 0.034

    [Moon Name]
    HABITABLE
    diam: 0.153
    grav: 1.001

    [Moon Name]
    diam: 0.100
    grav: 2.602

    [Moon Name]
    diam: 0.343
    grav: 0.021

    [Moon Name]
    diam: 0.396
    grav: 0.016

    [Moon Name]
    diam: 0.464
    grav: 0.039

    [Moon Name]
    diam: 0.614
    grav: 0.217

    [Moon Name]
    diam: 0.100
    grav: 1.414

    [Moon Name]
    diam: 0.100
    grav: 0.250

    [Moon Name]
    diam: 0.213
    grav: 0.055

    [Moon Name]
    diam: 0.256
